event,date,domain,url,category,region,lang
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947485.crystal-palace-ease-relegation-fears-convincing-win-struggling-watford/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947530.patrick-vieira-hails-wilfried-zahas-best-palace-performance-since-took/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947483.ukraines-rebel-leader-ask-russia-military-assistance-kremlin-says/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947502.england-star-ben-youngs-enthusiasm-good-blueprint-anyone---ellis-genge/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19947516.starmer-promises-harness-white-heat-technological-change/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947518.bruno-lage-always-knew-fearless-fighter-raul-jimenez-lead-frontline/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947400.stanley-elliott-trial-defendant-takes-stand/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947539.canadas-justin-trudeau-removes-emergency-powers-blockades-ended/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19945620.putin-gone-full-tonto-ukraine-says-defence-secretary/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947550.ralf-rangnick-urges-manchester-united-players-try-emulate-anthony-elanga/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947543.sir-jeffrey-donaldson-denies-considered-rejoining-ulster-unionists/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947548.snow-lightning-warnings-severe-flooding-risks-remain/,Print_News,EU,EN
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947513.ukraine-rebel-leaders-ask-russia-fend-off-aggression-kremlin-says/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955310.johnson-welcomes-moves-exclude-russia-swift-banking-system/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19955180.protests-continue-ireland-ukraine-invasion/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955350.real-madrid-nine-points-clear-karim-benzema-strike-sees-off-rayo-vallecano/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955327.youtube-takes-action-rt-twitter-access-restricted-russia/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955311.eddie-jones-dismisses-impact-referees-influence-englands-win-wales/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955241.phil-foden-goal-takes-manchester-city-six-points-clear-top-premier-league/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955303.frank-lampard-blasts-officials-evertons-defeat-manchester-city/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955352.make-preventing-violence-women-girls-priority-police-told/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955319.wayne-pivac-felt-england-try-not-stood-wales-lose-twickenham/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19955330.residents-take-cover-ukrainian-capital-russian-troops-approach/,Print_News,EU,EN
ukraine,2022-02-27,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19955356.boris-johnson-says-west-tightening-economic-ligature-around-russia/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824936.teenage-honours-recipient-urges-peers-get-involved-rewarding-charity/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824904.met-officer-given-final-warning-joking-setting-fire-womans-house/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824908.stephen-fry-startled-enchanted-knighthood-new-year-honours/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/24823416.new-years-honours-list-2024-basingstoke-recipients/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824896.welsh-ambulance-service-declares-critical-incident-increased-demand/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824872.us-treasury-says-chinese-hackers-remotely-accessed-workstations-documents/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24822831.taliban-letter-tells-ngos-afghanistan-stop-employing-women-face-closure/,Print_News,EU,EN
venezuela,2024-12-31,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/24824938.king-honours-medical-staff-personal-service-cancer-treatment/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955350.real-madrid-nine-points-clear-karim-benzema-strike-sees-off-rayo-vallecano/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955303.frank-lampard-blasts-officials-evertons-defeat-manchester-city/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955327.youtube-takes-action-rt-twitter-access-restricted-russia/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19953418.peaky-blinders-season-6-get-look-boohooman/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955311.eddie-jones-dismisses-impact-referees-influence-englands-win-wales/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955319.wayne-pivac-felt-england-try-not-stood-wales-lose-twickenham/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955310.johnson-welcomes-moves-exclude-russia-swift-banking-system/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19953399.primrose-reveals-7-quick-jobs-get-garden-spring-ready--see-tasks/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19953403.world-book-day-childrens-fancy-dress-costumes-aldi/,Print_News,EU,EN
ukraine,2022-02-27,borehamwoodtimes.co.uk,https://www.borehamwoodtimes.co.uk/news/19955352.make-preventing-violence-women-girls-priority-police-told/,Print_News,EU,EN
