event,date,domain,url,title,lead
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947485.crystal-palace-ease-relegation-fears-convincing-win-struggling-watford/,Crystal Palace ease relegation fears with convincing win over struggling Watford | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947530.patrick-vieira-hails-wilfried-zahas-best-palace-performance-since-took/,Patrick Vieira hails Wilfried Zaha’s best Palace performance since he took over | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947483.ukraines-rebel-leader-ask-russia-military-assistance-kremlin-says/,"Ukraine’s rebel leader ask Russia for military assistance, Kremlin says | Basingstoke Gazette",""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947502.england-star-ben-youngs-enthusiasm-good-blueprint-anyone---ellis-genge/,England star Ben Youngs’ enthusiasm is good blueprint for anyone – Ellis Genge | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19947516.starmer-promises-harness-white-heat-technological-change/,Starmer promises to harness the ‘white heat’ of technological change | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947518.bruno-lage-always-knew-fearless-fighter-raul-jimenez-lead-frontline/,Bruno Lage always knew fearless fighter Raul Jimenez would lead frontline again | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947400.stanley-elliott-trial-defendant-takes-stand/,Stanley Elliott trial: Defendant takes the stand | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947539.canadas-justin-trudeau-removes-emergency-powers-blockades-ended/,Canada’s Justin Trudeau removes emergency powers after blockades ended | Basingstoke Gazette,""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/national/19945620.putin-gone-full-tonto-ukraine-says-defence-secretary/,"Putin has gone ‘full tonto’ over Ukraine, says Defence Secretary | Basingstoke Gazette",""
ukraine,2022-02-24,basingstokegazette.co.uk,https://www.basingstokegazette.co.uk/news/19947550.ralf-rangnick-urges-manchester-united-players-try-emulate-anthony-elanga/,Ralf Rangnick urges Manchester United players to try to emulate Anthony Elanga | Basingstoke Gazette,""
