event,macro_geo,actor_type,alignment_content,n
venezuela,PLATFORM,NATIONAL,none,20794
gaza,PLATFORM,NATIONAL,none,16741
ukraine,PLATFORM,NATIONAL,none,11005
venezuela,PLATFORM,NATIONAL,int,2124
venezuela,ASIA,NATIONAL,none,1780
gaza,PLATFORM,NATIONAL,int,1687
gaza,ASIA,NATIONAL,none,1469
venezuela,PLATFORM,NATIONAL,other,1284
gaza,PLATFORM,NATIONAL,other,1074
ukraine,PLATFORM,NATIONAL,int,887
venezuela,PLATFORM,PLATFORM,none,544
ukraine,PLATFORM,NATIONAL,other,485
gaza,PLATFORM,PLATFORM,none,424
venezuela,US,NATIONAL,none,332
ukraine,ASIA,NATIONAL,none,279
gaza,US,NATIONAL,none,250
venezuela,ASIA,PLATFORM,none,221
gaza,ASIA,PLATFORM,none,197
venezuela,EU,PLATFORM,none,192
venezuela,ASIA,NATIONAL,other,191
ukraine,US,NATIONAL,none,189
gaza,EU,PLATFORM,none,172
ukraine,ASIA,PLATFORM,none,168
gaza,ASIA,NATIONAL,other,161
ukraine,PLATFORM,PLATFORM,none,145
venezuela,AFRICA,PLATFORM,none,124
venezuela,ASIA,NATIONAL,int,95
venezuela,PLATFORM,FIN,none,85
gaza,AFRICA,PLATFORM,none,83
gaza,PLATFORM,FIN,none,83
gaza,ASIA,NATIONAL,int,74
ukraine,EU,PLATFORM,none,70
venezuela,PLATFORM,NATIONAL,mil,69
ukraine,AFRICA,NATIONAL,none,65
gaza,PLATFORM,NATIONAL,mil,63
venezuela,PLATFORM,NATIONAL,community,63
gaza,PLATFORM,NATIONAL,community,56
ukraine,EU,NATIONAL,none,56
ukraine,PLATFORM,NATIONAL,community,56
venezuela,PLATFORM,PLATFORM,other,45
venezuela,AFRICA,NATIONAL,none,44
venezuela,PLATFORM,PLATFORM,int,41
ukraine,PLATFORM,NATIONAL,mil,39
gaza,PLATFORM,PLATFORM,int,37
venezuela,US,NATIONAL,other,37
ukraine,PLATFORM,FIN,none,36
venezuela,PLATFORM,NATIONAL,finance,36
gaza,PLATFORM,PLATFORM,other,35
gaza,AFRICA,NATIONAL,none,33
venezuela,EU,NATIONAL,none,33
gaza,EU,NATIONAL,none,30
gaza,US,NATIONAL,other,30
ukraine,AFRICA,PLATFORM,none,26
venezuela,EU,PLATFORM,other,25
ukraine,ASIA,STATE,none,24
ukraine,ASIA,NATIONAL,other,23
ukraine,PLATFORM,STATE,none,23
gaza,EU,PLATFORM,other,21
venezuela,US,NATIONAL,int,21
ukraine,US,NATIONAL,other,20
venezuela,ASIA,NATIONAL,state,19
venezuela,ASIA,PLATFORM,other,19
gaza,ASIA,PLATFORM,other,18
venezuela,ASIA,PLATFORM,int,18
ukraine,PLATFORM,GOV,none,17
gaza,ASIA,PLATFORM,int,16
gaza,US,NATIONAL,int,16
ukraine,ASIA,PLATFORM,other,16
gaza,ASIA,NATIONAL,state,14
ukraine,US,NATIONAL,int,13
venezuela,EU,PLATFORM,int,13
venezuela,PLATFORM,NATIONAL,state,13
gaza,EU,PLATFORM,int,12
gaza,LATAM,PLATFORM,none,12
gaza,PLATFORM,NATIONAL,state,12
venezuela,ASIA,STATE,none,12
venezuela,LATAM,PLATFORM,none,12
venezuela,PLATFORM,GOV,none,12
gaza,ASIA,STATE,none,11
venezuela,AFRICA,PLATFORM,other,11
venezuela,ASIA,NATIONAL,finance,11
ukraine,PLATFORM,PLATFORM,int,10
gaza,PLATFORM,GOV,none,8
