event,macro_geo,actor_type,n
venezuela,PLATFORM,NATIONAL,24389
gaza,PLATFORM,NATIONAL,19645
ukraine,PLATFORM,NATIONAL,12482
venezuela,ASIA,NATIONAL,2102
gaza,ASIA,NATIONAL,1723
venezuela,PLATFORM,PLATFORM,633
gaza,PLATFORM,PLATFORM,498
venezuela,US,NATIONAL,395
ukraine,ASIA,NATIONAL,314
gaza,US,NATIONAL,300
venezuela,ASIA,PLATFORM,262
gaza,ASIA,PLATFORM,235
venezuela,EU,PLATFORM,231
ukraine,US,NATIONAL,223
gaza,EU,PLATFORM,206
ukraine,ASIA,PLATFORM,193
ukraine,PLATFORM,PLATFORM,160
venezuela,AFRICA,PLATFORM,136
gaza,AFRICA,PLATFORM,90
venezuela,PLATFORM,FIN,89
gaza,PLATFORM,FIN,87
ukraine,AFRICA,NATIONAL,76
ukraine,EU,PLATFORM,75
ukraine,EU,NATIONAL,63
venezuela,AFRICA,NATIONAL,55
gaza,AFRICA,NATIONAL,40
venezuela,EU,NATIONAL,39
ukraine,PLATFORM,FIN,37
gaza,EU,NATIONAL,34
ukraine,PLATFORM,STATE,32
ukraine,AFRICA,PLATFORM,28
ukraine,ASIA,STATE,24
ukraine,PLATFORM,GOV,17
gaza,MENA,STATE,15
venezuela,MENA,STATE,15
gaza,LATAM,PLATFORM,13
venezuela,LATAM,PLATFORM,13
venezuela,PLATFORM,GOV,13
venezuela,ASIA,STATE,12
gaza,ASIA,STATE,11
venezuela,PLATFORM,STATE,11
ukraine,LATAM,PLATFORM,10
gaza,PLATFORM,GOV,9
gaza,PLATFORM,STATE,9
ukraine,MENA,PLATFORM,8
venezuela,MENA,PLATFORM,6
gaza,MENA,PLATFORM,5
ukraine,MENA,NATIONAL,5
gaza,LATAM,NATIONAL,4
venezuela,LATAM,NATIONAL,4
